munic|nome_municipio|sigla_uf|lavoura_perm|lavoura_temp|lavoura_temp_desc|pastagens_naturais|pastagens_plant|matas_f_nat|matas_flor_art|terras_prod|terras_inap
1300904|Canutama|AM|164,1|1842,9|741,7|5033,1|-|15390,1|-|11022|268
1301001|Carauari|AM|324|2131,7|117|27,5|2685,5|16958,3|-|1696,3|2429,2
1301100|Careiro|AM|1430,5|5806|3423,5|10532,5|4714,5|63583,3|-|16693,1|2786
1301159|Careiro da Várzea|AM|832,2|1736,3|414,3|29619,6|169,1|32604,2|-|5997,3|6192,7
1301209|Coari|AM|15125,8|8524,8|1950,4|1638|815|40841,7|-|2749,2|3068,7
1301308|Codajás|AM|1331,6|663,3|230|759|-|10363,8|-|763,3|700,8
1301407|Eirunepé|AM|273|2005,2|10,9|5675,2|-|31204,5|28|1462,5|309,6
1301506|Envira|AM|509|1893,3|393,8|9032,9|-|36622,1|46|51821,8|120,5
1301605|Fonte Boa|AM|3505|4318|59|1027|442|3121,5|-|515,5|989
1301654|Guajará|AM|101,5|1671,2|1079,9|2186,8|6778,4|14503,3|164,3|415|242
1301704|Humaitá|AM|2171,8|2328,4|1001,9|9445,9|4747|35957,1|446|4207,4|4009,1
1301803|Ipixuna|AM|363,5|1833,2|1331,3|185,3|2254,8|9274,6|-|269,3|56
1301852|Iranduba|AM|1431,9|2541,9|1653,3|4591|-|12554,3|1,5|2765,8|1468
1301902|Itacoatiara|AM|8459,6|4334,8|3277,3|22538,5|15830,6|82393,9|54|8268,1|3266,5
1301951|Itamarati|AM|630,5|1308,8|1401|448|-|72702|102|1870,5|1131
1302009|Itapiranga|AM|129,5|192|258|1679|2654,5|10100,5|7|4403,5|1688
1302108|Japurá|AM|54|34,7|-|-|-|5,3|-|-|-
1302207|Juruá|AM|86,5|351,5|490,5|4|276,5|3144,3|-|464,2|555,5
1302306|Jutaí|AM|2249,5|2669,5|56|175,5|255|7025|6|74|895,4
1302405|Lábrea|AM|365,7|2250,6|889,9|2568,9|-|74761,1|-|575,6|2350,5
1302504|Manacapuru|AM|4059,5|4899,5|7322,6|9732,6|7569,5|132415,6|-|18533,1|6907,9
1302553|Manaquiri|AM|2808,4|2684,9|310,1|2174,8|3317,5|23863,4|-|2345,2|1740,9
1302603|Manaus|AM|876,9|326|444,5|4925,5|18|64651,4|-|3672,8|10252,4
1302702|Manicoré|AM|2225,8|6562,4|4505,5|4775,5|1,5|82903,3|-|5670,9|1548,5
1302801|Maraă|AM|1452,4|706,1|12,7|6,6|-|1710|-|336|214,7
1302900|Maués|AM|5124|2218|913,3|4708|3091|56300,9|8|4346,2|1436,6
1303007|Nhamundá|AM|215,5|916,3|548|15998,9|-|16356,3|-|608,5|747,9
1303106|Nova Olinda do Norte|AM|3382|4850,8|1891,8|4022|10|37297,8|-|10886,8|4640,9
1303205|Novo Airăo|AM|327,7|503,3|169,3|83|910,5|2798,8|10|8442,1|388,9
1303304|Novo Aripuană|AM|1759,3|3675,5|5207,3|11789,5|-|119193,9|-|6325,9|1037
1303403|Parintins|AM|2680,7|6567,9|2616,4|39655,9|21881,3|89855,6|-|9620,8|1161,7
1303502|Pauini|AM|1221,5|1914,1|664|3270,1|161,1|8349,3|-|527,6|232,9
1303536|Presidente Figueiredo|AM|693,5|92,4|15|8683,3|-|42378|-|669,8|850,4
1303569|Rio Preto da Eva|AM|2625,6|648,3|1224,7|6142|-|124801,4|38,5|2032,1|2590,4
1303601|Santa Isabel do Rio Negro|AM|1761,6|830,2|153,2|146|-|8656,5|-|50,7|2249,3
1303700|Santo Antônio do Içá|AM|687,1|1693,6|79,5|319,7|-|976,1|-|119,9|4,3
1303809|Săo Gabriel da Cachoeira|AM|2074,1|4567,4|128,1|538,1|284|2787|-|127,8|768,9
1303908|Săo Paulo de Olivença|AM|1284,7|2706,1|16,8|408,7|-|4127,6|-|102,4|30,3
1303957|Săo Sebastiăo do Uatumă|AM|250,4|479,1|59|99|979,2|7572,4|7|464,3|739,6
1304005|Silves|AM|1022,5|1643|17,5|8862|2433,5|22841,5|-|7407|3368
1304062|Tabatinga|AM|699|1544|-|98,2|-|442,5|-|163,3|120,2
1304104|Tapauá|AM|177,4|931,1|81,5|66,3|53,5|3091|-|259,3|273,2
1304203|Tefé|AM|932,6|5912,2|3357,7|362,2|-|5618,9|-|1019,6|554,4
1304237|Tonantins|AM|1010|1085,7|489,1|729|152|11887,3|-|690,5|310,5
1304260|Uarini|AM|254,7|2200,7|2056,6|244|-|864,2|-|1132|50,1
1304302|Urucará|AM|1759|1705,4|445|7392,5|1697,5|31143,6|20|2043,5|2058,1
1304401|Urucurituba|AM|1263,2|1366,7|1768|9283|4880,6|8150,7|127|5979,8|538,4
1400050|Alto Alegre|RR|1498,6|2900|1141,5|150719|34434,3|123172,8|2|12692,6|16559,7
1400100|Boa Vista|RR|43538,3|42148,6|13478,4|580946,8|86098,8|180691,2|611,4|36985,1|41835,5
1400159|Bonfim|RR|1901|5047,5|5826|357702|59978|290809|-|14624|49400,5
1400209|Caracaraí|RR|590,8|1481|480,5|1385,3|15534,6|72390,9|19|9509,3|889,2
1400308|Mucajaí|RR|954,2|3921,2|4540,8|6708,5|26318,1|117629,2|215|5413,2|2125,2
1400407|Normandia|RR|11365,9|8381,8|8937,9|148401,8|12099,8|36254,7|65|16456|21250,8
1400506|Săo Joăo da Baliza|RR|2475,4|1054,1|2277,6|495,5|36427,5|125778,1|52|3727,6|1562,5
1400605|Săo Luiz|RR|2080,6|3673,3|3877,2|182,5|25133,1|75248,4|450|3594,5|664,6
1500107|Abaetetuba|PA|8263,4|3456,2|3271,3|1641,7|4150,6|27006,7|87,1|11282,3|3294,1
1500131|Abel Figueiredo|PA|111,1|1242,7|314,6|897,8|49093|21989,3|137,9|-|457
1500206|Acará|PA|5182|11938,2|20344,8|2298,2|19433,2|191256,3|330,2|52548,3|11874,5
1500305|Afuá|PA|3601,6|3464,4|89,5|10440,2|796,4|295023,7|480,8|3281,8|10300,4
1500347|Água Azul do Norte|PA|688,1|6641,9|1698|6953,4|166410,5|124832,1|470,9|16481|9457,8
1500404|Alenquer|PA|3963,6|11595,5|11450,9|53917,1|54298,7|137575,8|457,7|29265,8|9604,2
1500503|Almeirim|PA|702,6|11462,8|894,6|13346,4|1959,4|1126406|56157,8|45872,2|27528,2
1500602|Altamira|PA|3575,6|8326,5|2358,6|7466,4|119549,9|430486,6|818,5|21246,7|6592,1
1500701|Anajás|PA|41,9|272,6|899|1301,6|46,2|26160,7|35,5|4614,3|2106,6
1500800|Ananindeua|PA|100,6|157,7|2,1|20,2|35,5|1101,7|-|124,9|174,7
1500909|Augusto Corręa|PA|669|4865,9|5542,8|3151|1137,9|4829,2|28,4|12733,6|1619,7
1500958|Aurora do Pará|PA|667,8|2510,3|6253|334,7|22856,5|20506,4|797,1|25535,3|3968,3
1501006|Aveiro|PA|1313,3|2692,1|2671,5|470,3|4019,8|33690,5|198,8|2377,3|906,7
1501105|Bagre|PA|624|677,8|183,8|-|89,9|35511,2|7|11881,1|2886
1501204|Baiăo|PA|1534,9|2201,6|624,4|388|14115,2|33499,7|99,3|5462,7|734,3
1501303|Barcarena|PA|1230,7|1324,6|2887,6|87,4|99,8|10160,3|87|4974,3|1675,4
1501402|Belém|PA|52,7|18,3|1|2,5|64,4|1651,5|0,3|471,6|125,3
1501501|Benevides|PA|343,4|101,7|12|4452,2|941,2|10065,5|7,4|592,4|194,7
1501576|Bom Jesus do Tocantins|PA|185,4|2834,6|3492,9|5542,9|79307,3|49075,6|60,5|4713,5|4512,1
1501600|Bonito|PA|477|1715,8|7034,3|1677,7|7582,6|2120,6|64,1|11119,7|2151,1
1501709|Bragança|PA|3407,5|14926,2|21397,5|7097,5|9889,2|27676,9|320,1|41878,4|8023,6
1501725|Brasil Novo|PA|4359|6550,5|625,9|1354,5|81719,2|181787,4|730,5|9989,7|547,8
1501758|Brejo Grande do Araguaia|PA|168,4|2327|4613,6|4307,6|75406,7|27843,3|167,6|8985,7|1446,1
1501782|Breu Branco|PA|898,1|1434,6|224,7|236,3|9357,5|17259,7|177,9|2915|355,6
1501808|Breves|PA|7519,1|4204,1|2532,4|268,6|660|148432|484,7|17056|19385,4
1501907|Bujaru|PA|1265,9|4272,7|8680,3|152,6|2232,7|4953|38,7|29944,9|3285,5
1502004|Cachoeira do Arari|PA|429,9|774,1|133,1|141679,6|250,5|8220,9|18,2|297,9|3736,6
1502103|Cametá|PA|5397,8|5830,9|7594,4|465,7|1452,3|41237,3|166,7|13808,3|3074,1
1502202|Capanema|PA|729,9|2449,4|3010,5|5149,7|3149,4|4302,4|22,7|7991,6|2437,6
1502301|Capităo Poço|PA|8342,7|6031,5|2587|6186,6|23342,9|20334,4|261|36609,8|4419,2
1502400|Castanhal|PA|3974,8|1871,8|1207,9|3544,9|19243,1|20672,3|597,4|7248,3|2542,3
1502509|Chaves|PA|173,5|219,5|-|209546,9|462|158865,6|194|31619|8285,9
1502608|Colares|PA|41,8|270,4|40|21,7|98|96,2|-|138|44
1502707|Conceiçăo do Araguaia|PA|2080,6|18596,2|9022,8|158903|226825|227466,6|1583,2|23464,5|28973,5
1502756|Concórdia do Pará|PA|1234,8|3250,2|8080,8|781,6|7912,7|12283,4|75,7|23777,6|2278,2
1502764|Cumaru do Norte|PA|408,1|1670,3|1129,1|6027,3|199470,5|215409,8|30,8|14115,9|6948,7
1502772|Curionópolis|PA|497,9|1935,4|1548,9|15399|117132,8|30667,9|-|781,6|6224,6
1502806|Curralinho|PA|1228,4|2309,8|5424,4|17,3|200,1|16945,3|45,6|7448,6|4589,9
1502905|Curuçá|PA|880,8|363,6|729,1|85,4|694,5|1862,5|7|2025,6|341,9
1502939|Dom Eliseu|PA|2967,4|2648,3|858,3|5192,9|111265,5|101066,6|6238,8|5049,6|4823,6
1502954|Eldorado dos Carajás|PA|600,4|5898,8|1148,3|1109,9|72091,6|45181|259,9|2020,3|4096,9
1503002|Faro|PA|780,1|480,3|484,2|134,5|592,7|6914,4|15|2236,7|302,2
1503077|Garrafăo do Norte|PA|1898,6|6543|10527,1|2235,8|22115,9|26565,4|345,8|22795,8|4238,3
1503093|Goianésia do Pará|PA|1010,4|5690,4|3983,1|1224,6|109027,2|199111|2191|10749,8|2963,3
1503101|Gurupá|PA|2659,4|2251|2928,9|8490,3|2906,7|98490,7|5,4|6519,9|4002,3
1503200|Igarapé-Açu|PA|3863,8|3123,6|3136|1915,4|8151,9|6775,7|77,3|16950,3|2661,1
1503309|Igarapé-Miri|PA|7055,1|1595,2|1006,6|347,1|451,3|21350,5|173,5|2794,6|2119,9
